county_code,county_name,average_wage_relative,doctors_per_1000_persons,beds_in_hospitals,cars_per_1000_persons,motorcycles_per_1000_persons,education_share_higher,education_share_secondary,education_share_vocational,education_share_primary,tourits_per_1000_persons
0201000,bolesławiecki,88.5,14.3,235,613.5,31.4,17.43,35.08,25.51,15.85,427.36
0202000,dzierżoniowski,84.9,10.0,166,619.9,35.4,16.96,36.14,23.12,16.94,323.39
0203000,głogowski,86.2,13.1,237,589.0,28.6,20.77,37.18,22.86,13.55,162.32
0204000,górowski,80.2,6.0,0,769.4,38.7,13.56,33.3,27.88,19.81,0
0205000,jaworski,89.3,8.0,75,743.2,34.3,16.92,34.26,26.87,16.2,291.12
0206000,karkonoski,82.0,10.3,718,667.7,25.9,19.67,34.94,23.94,14.69,8903.15
0207000,kamiennogórski,82.1,14.3,369,612.0,31.3,15.22,32.51,29.91,16.35,197.89
0208000,kłodzki,86.0,15.7,1048,720.2,46.1,17.07,37.24,23.53,16.38,1860.16
0209000,legnicki,88.3,1.5,0,684.1,32.5,18.27,35.14,23.82,17.23,326.65
0210000,lubański,81.6,13.0,247,720.8,47.7,16.41,37.11,26.09,14.52,2070.75
0211000,lubiński,161.5,27.9,705,656.5,24.3,22.61,35.79,22.28,13.68,213.86
0212000,lwówecki,83.7,9.5,331,759.2,30.1,15.36,34.73,28.08,15.65,258.75
0213000,milicki,78.6,19.3,298,761.4,68.7,15.13,34.35,28.64,16.36,77.39
0214000,oleśnicki,86.4,9.2,198,674.5,42.1,19.05,35.33,24.73,15.57,230.6
0215000,oławski,90.3,11.2,198,685.0,38.1,22.05,37.31,21.37,13.7,196.6
0216000,polkowicki,101.5,3.9,0,617.5,31.3,16.82,33.65,27.03,16.41,0
0217000,strzeliński,93.5,13.2,68,811.6,46.3,16.95,37.07,24.59,16.3,0
0218000,średzki,95.2,3.0,0,712.2,45.8,21.38,33.61,23.68,15.89,28.24
0219000,świdnicki,91.5,14.5,424,647.4,34.9,20.42,36.06,23.02,14.63,178.04
0220000,trzebnicki,83.5,12.0,369,700.7,55.6,21.78,33.25,24.88,14.61,128
0221000,wałbrzyski,79.4,8.0,41,1012.4,66.2,17.21,33.38,25.02,18.03,635.11
0222000,wołowski,107.0,11.9,77,712.6,62.9,19.07,36.95,23.98,14.95,0
0223000,wrocławski,106.2,5.4,40,604.9,37.9,35.7,31.56,15.39,12.03,259.5
0224000,ząbkowicki,82.5,5.9,127,757.8,49.4,16.07,38.26,24.32,15.7,287.31
0225000,zgorzelecki,88.4,20.5,533,679.7,29.2,16.67,35.85,24.34,16.47,593.94
0226000,złotoryjski,92.7,13.7,95,726.4,31.0,16.03,32,28.25,17.95,123.4
0261000,m. Jelenia Góra,93.8,36.4,560,666.9,30.2,25.4,37.63,19.39,11.24,634.22
0262000,m. Legnica,89.7,28.0,584,591.7,19.3,25.06,36.79,19.45,12.6,359.25
0264000,m. Wrocław,111.2,56.5,4747,707.4,30.4,42.1,33,11.81,8.31,881.09
0265000,m. Wałbrzych od 2013,100.8,28.3,804,375.4,12.0,19.59,34.92,23.34,15.67,354.59
0401000,aleksandrowski,74.9,16.6,131,634.9,41.5,17.11,33.88,27.44,16.9,1570.27
0402000,brodnicki,77.7,13.4,141,674.7,78.1,15.83,31.12,27.78,20.02,467.89
0403000,bydgoski,86.0,7.6,55,660.8,54.5,25.91,31.21,22.63,14.63,294.44
0404000,chełmiński,81.3,11.1,124,595.6,38.5,14.26,31.13,28.69,19.96,74.42
0405000,golubsko-dobrzyński,90.1,12.2,136,759.1,68.8,13.85,32.3,28.06,20.97,389.93
0406000,grudziądzki,84.7,5.1,35,763.3,52.3,13.75,30.14,28.36,22.19,115.11
0407000,inowrocławski,83.2,18.4,473,643.1,39.5,16.61,35.89,26.23,16.54,297.55
0408000,lipnowski,74.4,11.6,256,737.6,68.1,13.76,30.64,26.42,24.22,0
0409000,mogileński,77.2,11.2,105,740.5,69.9,14.79,33.83,29.94,17.05,78.32
0410000,nakielski,80.1,10.4,131,643.1,58.7,15.15,30.22,30.49,19.04,103.27
0411000,radziejowski,78.2,12.5,219,795.0,58.7,14.5,32.49,26.47,22.78,0
0412000,rypiński,76.4,18.1,122,715.6,58.1,13.71,30.16,24.51,26.76,0
0413000,sępoleński,78.0,9.3,131,748.3,51.6,13.17,30.22,30.19,21.1,120.88
0414000,świecki,88.0,12.2,253,677.0,57.5,14.54,31.56,29.85,18.44,330.28
0415000,toruński,79.6,5.6,92,612.4,54.9,19.85,32.03,24.78,17.95,249.3
0416000,tucholski,76.2,11.6,120,766.4,59.1,13.94,29.5,32.38,19.37,258.19
0417000,wąbrzeski,85.3,17.5,48,702.8,69.4,13.44,31.98,28.25,21.04,0
0418000,włocławski,79.4,5.0,0,764.6,71.2,15.04,31.03,25.77,23.76,218.05
0419000,żniński,77.6,15.2,149,696.1,58.3,14.94,32.58,31.21,16.73,403.62
0461000,m. Bydgoszcz,95.1,65.5,3348,652.4,37.2,29.25,34.57,19.72,11.29,326.53
0462000,m. Grudziądz,79.9,39.2,802,492.4,36.9,18.28,36.64,23.84,15.2,348.63
0463000,m. Toruń,96.5,41.9,1169,580.5,34.3,30.49,34.87,17.99,11.57,834.28
0464000,m. Włocławek,88.5,30.5,553,570.8,39.1,21.72,36.64,21.8,14.68,170.26
0601000,bialski,77.1,6.4,102,753.3,67.5,18.55,34.79,22.73,18.87,460.25
0602000,biłgorajski,81.9,13.2,261,595.8,42.9,19,33.62,22.64,19.56,58.04
0603000,chełmski,77.7,4.2,74,771.3,91.2,15.41,33.02,23.19,23.08,21.52
0604000,hrubieszowski,81.8,12.1,340,619.0,34.2,15.98,36.29,21.15,21.49,129.88
0605000,janowski,80.3,18.3,250,546.4,62.5,17.98,31.32,22.84,22.58,247.6
0606000,krasnostawski,82.4,25.6,227,636.5,38.3,17.36,37.14,20.35,20.28,90.5
0607000,kraśnicki,76.8,16.9,255,628.2,62.8,17.96,36.29,22.2,18.47,53.63
0608000,lubartowski,79.1,11.2,213,631.7,58.2,18.43,31.74,24.09,20.93,104.19
0609000,lubelski,77.0,5.5,164,685.3,59.7,25.25,34.34,19.21,16.36,153.35
0610000,łęczyński,115.7,21.8,217,732.6,62.7,19.62,36.45,21.65,17.47,87.75
0611000,łukowski,75.1,10.5,457,644.9,59.0,17.3,31.74,24.88,21,49.62
0612000,opolski,77.0,7.8,133,699.9,60.4,16.16,36.14,23.26,19.54,177.99
0613000,parczewski,81.1,14.6,216,752.9,73.6,17.87,36.32,20.7,20.26,176.78
0614000,puławski,96.2,20.7,669,627.4,50.3,23.37,36.46,21.24,14.27,1033.41
0615000,radzyński,79.4,12.4,264,714.4,65.1,16.73,33.97,24.46,20.12,30.65
0616000,rycki,79.4,10.9,93,753.6,74.4,19.61,40.12,20.99,14.57,97.73
0617000,świdnicki,91.9,17.0,181,661.8,60.9,24.94,37.63,18.44,14.39,147.88
0618000,tomaszowski,78.5,14.1,472,636.5,31.9,17.69,34.71,21.72,20.62,274.5
0619000,włodawski,78.5,9.5,268,812.1,89.6,17.99,36.61,19.42,20.72,621.04
0620000,zamojski,74.9,5.7,48,633.5,42.0,17.43,33.71,23.49,20.11,314.48
0661000,m. Biała Podlaska,81.6,49.0,610,671.4,40.9,30.33,38.49,16.33,10.14,343.14
0662000,m. Chełm,83.0,35.8,512,653.7,42.7,27.88,39.45,15.88,11.94,162.51
0663000,m. Lublin,98.0,78.1,3968,605.5,29.1,39.4,34.45,12.19,9.27,587.53
0664000,m. Zamość,90.8,67.4,744,560.0,25.1,29.42,39.85,15.16,10.51,766.17
0801000,gorzowski,90.8,7.3,92,737.5,67.3,20.32,32.46,23.78,17.13,182.78
0802000,krośnieński,86.3,9.6,72,785.8,62.3,15.39,35.66,26.12,16.67,248.45
0803000,międzyrzecki,82.7,20.3,194,720.0,56.6,17.17,34.75,25.82,16.11,524.51
0804000,nowosolski,83.7,27.9,480,644.3,42.3,16.57,36.15,24.93,16.2,102.93
0805000,słubicki,81.1,12.7,112,697.6,68.3,17.42,36.68,21.87,16.96,1649.33
0806000,strzelecko-drezdenecki,82.6,8.1,126,797.6,79.6,14.42,31.35,28.7,20.29,451.12
0807000,sulęciński,77.7,18.9,357,767.6,78.6,15.55,36.24,24.97,17.1,897.72
0808000,świebodziński,84.4,20.0,182,703.1,44.2,17.7,35.67,25.73,15.12,993.12
0809000,zielonogórski,91.2,9.3,225,802.3,56.7,18.52,33.74,26.96,15.25,252.58
0810000,żagański,81.2,10.9,106,746.0,51.7,15.72,36.71,24.69,16.8,202.72
0811000,żarski,91.4,16.7,347,778.7,52.1,15.81,36.27,26.06,15.8,146.55
0812000,wschowski,80.9,11.1,41,677.1,41.7,14.67,32.09,31.09,16.15,699.54
0861000,m. Gorzów Wielkopolski,86.7,32.9,892,662.4,35.1,25.08,36.63,19.84,12.44,310.54
0862000,m. Zielona Góra,94.4,40.5,946,628.7,26.8,32.93,36.19,15.81,9.85,273.56
1001000,bełchatowski,126.8,26.7,748,690.0,48.6,21.69,35.21,21.88,16.71,233.02
1002000,kutnowski,86.7,12.7,266,732.2,70.7,17.85,36.7,22.27,19.06,248.76
1003000,łaski,75.4,15.0,112,787.2,69.9,18.97,34.54,23.89,17.89,214.98
1004000,łęczycki,87.3,20.4,218,795.1,57.5,15.51,34.37,21.39,24.51,48.91
1005000,łowicki,80.8,9.6,171,703.5,70.9,19.18,36.52,22.17,17.97,111.86
1006000,łódzki wschodni,80.1,8.4,0,735.0,47.3,24.37,36.21,17.96,16.85,103.9
1007000,opoczyński,78.6,12.2,155,628.2,46.4,17.36,34.56,22.78,21,37.51
1008000,pabianicki,84.6,16.3,338,664.0,40.5,23.52,36.49,18.31,16.7,298.2
1009000,pajęczański,82.8,5.8,28,684.6,72.5,16.2,30.82,27.75,20.68,67.32
1010000,piotrkowski,77.0,2.0,28,657.6,53.0,16.55,34.8,22.32,21.61,332.09
1011000,poddębicki,103.0,8.7,286,750.8,79.1,15.76,32.33,24.49,23.11,940.5
1012000,radomszczański,79.1,17.0,381,676.0,52.3,17.7,34.11,24.39,19.36,132.6
1013000,rawski,81.6,10.0,76,734.6,65.5,17.94,35.03,23.44,19.09,683.11
1014000,sieradzki,85.8,24.0,784,752.0,67.8,18.77,33.71,24.02,19.16,133.4
1015000,skierniewicki,80.6,1.8,0,726.8,65.7,17.64,33.57,25.61,18.94,0
1016000,tomaszowski,81.0,11.8,460,654.9,51.8,18.65,35.93,23.13,17.5,410.11
1017000,wieluński,78.6,19.4,231,696.4,62.7,17.73,32.12,29.16,16.4,167.83
1018000,wieruszowski,75.4,3.6,37,769.9,51.3,15.59,31.87,31.22,17.25,49.02
1019000,zduńskowolski,79.3,10.8,126,697.9,73.4,18.83,36.68,22.55,17.19,70.47
1020000,zgierski,92.0,30.7,699,627.7,43.4,23.28,36.34,19.02,16.48,168.89
1021000,brzeziński,74.5,9.8,162,758.4,69.2,18.29,35.36,23.04,19.16,87.8
1061000,m. Łódź,99.8,56.6,5534,623.7,20.1,30.71,36.96,14.91,12.7,363.38
1062000,m. Piotrków Trybunalski,80.1,31.3,396,635.3,38.6,25.42,40.54,16.26,13.18,186.29
1063000,m. Skierniewice,84.9,41.5,255,603.7,33.3,30.02,37.66,16.33,11.51,0
1201000,bocheński,81.9,8.8,193,584.1,45.0,19.68,35.91,25.72,13.79,255.42
1202000,brzeski,76.9,14.8,220,605.7,55.8,17.04,32.57,30.27,14.84,0
1203000,chrzanowski,88.9,19.0,526,639.9,44.3,20.48,37.19,22.78,15.08,21.14
1204000,dąbrowski,80.1,13.2,209,613.7,76.0,15.67,34.48,27.05,16.84,0
1205000,gorlicki,75.3,15.3,458,559.5,76.7,17.02,34.89,27.85,15.52,194.96
1206000,krakowski,104.8,6.6,347,650.1,48.1,26.17,32.61,23.13,13.55,189.25
1207000,limanowski,75.4,8.9,423,600.3,32.2,16.8,31.63,28.44,17.93,164.87
1208000,miechowski,79.9,21.1,224,694.0,53.2,18.23,38.27,22.63,16.6,337.09
1209000,myślenicki,81.9,13.1,288,641.3,51.6,19.97,32.05,28.08,14.96,143.94
1210000,nowosądecki,75.3,6.8,514,491.9,35.7,17.06,34.08,27.38,16.13,1119.05
1211000,nowotarski,78.5,18.3,642,477.0,31.6,16.25,28.64,26.61,21.49,917.08
1212000,olkuski,89.1,16.0,419,668.4,40.3,23.07,38.65,20.01,14.04,75.28
1213000,oświęcimski,88.9,14.5,434,632.1,37.5,20.11,35.86,26.37,13.04,279.21
1214000,proszowicki,83.9,15.0,163,748.9,54.2,14.51,33.17,29.36,18.56,62.83
1215000,suski,81.2,18.1,326,589.0,43.9,16.45,32.29,28.06,18.6,405.52
1216000,tarnowski,75.1,5.6,116,618.7,52.9,16.8,31.84,29.91,16.12,105.74
1217000,tatrzański,84.3,26.9,652,525.1,58.5,18.77,31.36,22.74,20.45,10808.46
1218000,wadowicki,80.7,10.8,242,641.4,42.1,17.07,32.87,30.61,14.87,328.77
1219000,wielicki,91.4,5.1,0,620.7,50.7,26.94,33.19,22.8,12.3,362.85
1261000,m. Kraków,117.4,58.9,5423,663.6,31.4,43.74,31.62,12.39,7.99,1020.77
1262000,m. Nowy Sącz,80.9,23.7,729,580.2,39.9,27.97,39.01,18.37,9.25,210.29
1263000,m. Tarnów,101.9,44.3,992,548.3,29.6,27.89,36.89,19.6,10.3,265.2
1401000,białobrzeski,79.9,6.1,0,811.8,59.2,15.43,30.08,27.18,22.59,79.26
1402000,ciechanowski,89.9,18.5,386,711.1,49.6,22.58,35.35,21.73,15.91,174.58
1403000,garwoliński,85.2,16.3,270,717.8,55.0,18.53,35.54,24.45,16.95,262.85
1404000,gostyniński,84.0,20.7,322,825.6,74.6,17.64,35.53,21.83,20.54,114.21
1405000,grodziski,104.3,21.7,294,700.5,37.0,32.39,35.2,14.83,12.55,227.16
1406000,grójecki,92.1,11.6,251,822.8,52.8,19.63,36.13,22.4,17.17,240
1407000,kozienicki,99.0,16.1,335,732.1,56.3,19.4,33.7,24.56,18.16,155.98
1408000,legionowski,91.6,6.1,187,675.3,34.2,33.39,36.68,13.35,11.57,739.53
1409000,lipski,82.6,15.0,211,772.4,61.1,17.39,33.67,25.31,19.31,0
1410000,łosicki,81.2,12.1,111,824.0,52.4,17.66,34.85,21.75,21.68,103.36
1411000,makowski,80.8,19.1,192,814.6,44.7,17.38,37.29,21.59,18.84,137.04
1412000,miński,85.4,9.8,289,601.1,46.0,25.17,35.92,19.92,14.31,102.35
1413000,mławski,83.9,12.5,171,731.7,51.0,17.45,35.72,24.62,17.07,140.31
1414000,nowodworski,110.4,15.7,174,831.0,41.2,22.31,37,20.33,15.63,258.32
1415000,ostrołęcki,82.6,2.7,0,670.8,40.5,17.31,31.86,22.09,23,51.32
1416000,ostrowski,84.2,13.3,198,682.7,36.9,17.2,34.45,23.53,20.03,68.17
1417000,otwocki,95.6,33.5,1144,644.1,40.5,28.12,36.45,17.56,12.84,350.87
1418000,piaseczyński,93.5,14.3,765,577.1,33.0,37.12,34.22,11.83,11.7,256.57
1419000,płocki,83.9,3.8,0,892.1,83.3,18.3,32.2,24.58,20,93.75
1420000,płoński,87.4,16.2,253,759.0,56.6,17.16,33.08,24.07,21.08,318.01
1421000,pruszkowski,114.0,17.9,387,674.1,36.6,35.84,36.48,11.94,10.77,334.18
1422000,przasnyski,84.0,15.5,261,763.7,33.1,17.77,35.05,21.06,20.9,58.94
1423000,przysuski,84.3,6.8,45,767.9,47.4,16.47,32.1,24.83,21.48,182.73
1424000,pułtuski,84.1,17.1,165,781.0,46.4,20.02,34.18,22.82,18.25,0
1425000,radomski,79.0,6.8,195,615.2,38.5,19.84,32.63,22.93,19.58,60.05
1426000,siedlecki,81.5,1.7,0,658.5,57.1,18.16,32.11,25.09,19.6,32.93
1427000,sierpecki,83.5,8.1,155,930.1,92.3,16.89,33.62,24.41,20.57,216.35
1428000,sochaczewski,104.0,9.8,165,779.3,63.6,20.8,37.11,21.59,16.27,156.59
1429000,sokołowski,86.8,14.3,272,692.7,48.6,18.57,32.91,25.48,18.6,49.11
1430000,szydłowiecki,75.3,7.8,0,666.4,50.8,17.59,33.08,26.27,18.25,214.91
1432000,warszawski zachodni,108.5,10.7,72,807.6,44.3,35.05,34.47,13.47,12.2,426.7
1433000,węgrowski,83.1,10.7,162,694.2,68.5,15.61,33.83,26.02,19.93,402.38
1434000,wołomiński,90.5,10.2,277,563.3,36.7,28.71,36.24,16.42,13.68,156.3
1435000,wyszkowski,79.7,14.9,193,656.0,30.4,19.48,33.96,23.58,18.02,187.06
1436000,zwoleński,81.6,7.4,30,758.2,64.5,16.73,31.7,24.7,22.41,0
1437000,żuromiński,79.4,9.8,108,714.5,48.5,15.32,31.17,24.27,23.99,0
1438000,żyrardowski,92.6,12.3,247,799.2,55.5,22.42,36.45,20.49,15.9,478.18
1461000,m. Ostrołęka,103.4,51.1,501,558.0,26.2,28.08,38.27,16,12.53,57.65
1462000,m. Płock,118.2,44.3,1215,724.2,31.5,27.52,37.86,17.73,12.03,288.35
1463000,m. Radom,91.1,35.1,1327,576.3,23.9,28.95,35.61,16.93,13.38,142.21
1464000,m. Siedlce,93.9,67.2,815,596.9,36.6,33.32,36.19,15.32,10.4,446.06
1465000,m. st. Warszawa,129.4,48.9,12149,765.7,30.4,47.35,32.26,8.24,7.78,710.8
1601000,brzeski,87.4,14.1,225,728.1,38.2,19.41,37.54,22.43,14.68,120.99
1602000,głubczycki,85.2,14.1,162,738.9,34.2,16.06,33.68,26.2,18.4,83.3
1603000,kędzierzyńsko-kozielski,100.9,17.7,396,645.9,33.9,19.22,34.1,26.09,14.78,107.67
1604000,kluczborski,86.5,10.0,122,680.3,38.8,17.35,34.85,25.97,16.21,159.97
1605000,krapkowicki,100.5,12.5,116,697.9,45.9,17.92,29.76,29.68,16.54,246.87
1606000,namysłowski,87.0,9.9,196,750.3,30.9,17.58,34.75,26.01,16.33,246.86
1607000,nyski,84.0,18.3,1049,715.2,41.2,18.42,35.68,25.56,14.67,385.35
1608000,oleski,81.1,15.6,159,733.9,74.5,17.02,31.85,29.58,16.13,115.98
1609000,opolski,85.5,7.7,215,754.9,36.5,20.69,30.69,28.15,14.59,190.75
